target,Tm1,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tm10,Tm11,Tm12,Tm13,Tm14,Tm15,Tm16,Tm17,Tm18,Tm19,Tm20,Tm21,Tm22,trend,skew,mean,stddev,hurst,serialcorr,date
-84.3100999999999,-9.06270000000006,-24.3290999999999,230.2263,-28.1528999999999,227.6599,369.1385,98.3795,28.2366,22.3461,0.6159,0.6568,-0.4802,0.0655999999999999,-0.1771,0.1705,-0.1595,0.0199,-3.7228,-103.2863,-222.8647,-169.792,-184.1617,1.02583517248983,0.8218486632300691,10.514845454545501,133.488439239907,-0.21759633574742604,0.0153209570824258,2016-06-01 16:00:00
-137.5517,-84.3100999999999,-9.06270000000006,-24.3290999999999,230.2263,-28.1528999999999,227.6599,369.1385,98.3795,28.2366,22.3461,0.6159,0.6568,-0.4802,0.0655999999999999,-0.1771,0.1705,-0.1595,0.0199,-3.7228,-103.2863,-222.8647,-169.792,0.984750374096785,0.971351101966611,15.0535545454545,128.144644313428,-0.222093290219772,0.0311205292679916,2016-06-01 17:00:00
-180.0068,-137.5517,-84.3100999999999,-9.06270000000006,-24.3290999999999,230.2263,-28.1528999999999,227.6599,369.1385,98.3795,28.2366,22.3461,0.6159,0.6568,-0.4802,0.0655999999999999,-0.1771,0.1705,-0.1595,0.0199,-3.7228,-103.2863,-222.8647,0.96427365788097,1.05086678439791,16.5190227272727,126.098088187682,-0.268129705777788,0.0698968257376449,2016-06-01 18:00:00
-178.3582,-180.0068,-137.5517,-84.3100999999999,-9.06270000000006,-24.3290999999999,230.2263,-28.1528999999999,227.6599,369.1385,98.3795,28.2366,22.3461,0.6159,0.6568,-0.4802,0.0655999999999999,-0.1771,0.1705,-0.1595,0.0199,-3.7228,-103.2863,0.9523957016888571,1.2597272265580501,18.4671090909091,122.503571597624,-0.24436304272102397,0.0531324337264631,2016-06-01 19:00:00
-235.0418,-178.3582,-180.0068,-137.5517,-84.3100999999999,-9.06270000000006,-24.3290999999999,230.2263,-28.1528999999999,227.6599,369.1385,98.3795,28.2366,22.3461,0.6159,0.6568,-0.4802,0.0655999999999999,-0.1771,0.1705,-0.1595,0.0199,-3.7228,1.00294189740688,1.07418972157356,15.05475,127.01888939589399,-0.198787679062779,0.0209525983070573,2016-06-01 20:00:00
-90.4414,-235.0418,-178.3582,-180.0068,-137.5517,-84.3100999999999,-9.06270000000006,-24.3290999999999,230.2263,-28.1528999999999,227.6599,369.1385,98.3795,28.2366,22.3461,0.6159,0.6568,-0.4802,0.0655999999999999,-0.1771,0.1705,-0.1595,0.0199,1.08789353604238,0.7852463206320849,4.54025,137.76675385853702,-0.2044889265517,0.0113593936277757,2016-06-01 21:00:00
-9.9078,-90.4414,-235.0418,-178.3582,-180.0068,-137.5517,-84.3100999999999,-9.06270000000006,-24.3290999999999,230.2263,-28.1528999999999,227.6599,369.1385,98.3795,28.2366,22.3461,0.6159,0.6568,-0.4802,0.0655999999999999,-0.1771,0.1705,-0.1595,1.09593455455148,0.835651324338758,0.42837272727272796,139.250094015898,-0.172234547584453,0.00614552972218974,2016-06-01 22:00:00
0.3561,-9.9078,-90.4414,-235.0418,-178.3582,-180.0068,-137.5517,-84.3100999999999,-9.06270000000006,-24.3290999999999,230.2263,-28.1528999999999,227.6599,369.1385,98.3795,28.2366,22.3461,0.6159,0.6568,-0.4802,0.0655999999999999,-0.1771,0.1705,1.0567430499025101,0.845086678865228,-0.014731818181818002,139.267562576917,-0.16251527818029501,0.005958745610616821,2016-06-01 23:00:00
0.2431,0.3561,-9.9078,-90.4414,-235.0418,-178.3582,-180.0068,-137.5517,-84.3100999999999,-9.06270000000006,-24.3290999999999,230.2263,-28.1528999999999,227.6599,369.1385,98.3795,28.2366,22.3461,0.6159,0.6568,-0.4802,0.0655999999999999,-0.1771,1.04587917224889,0.8449003568054301,-0.00629545454545435,139.267579953475,-0.157988410860993,0.00595952007968414,2016-06-02 00:00:00
0.0488,0.2431,0.3561,-9.9078,-90.4414,-235.0418,-178.3582,-180.0068,-137.5517,-84.3100999999999,-9.06270000000006,-24.3290999999999,230.2263,-28.1528999999999,227.6599,369.1385,98.3795,28.2366,22.3461,0.6159,0.6568,-0.4802,0.0655999999999999,1.04570846970725,0.8444791589967421,0.0128045454545456,139.267584227208,-0.15668905464852698,0.00595950212051055,2016-06-02 01:00:00
