target,Tm1,Tm2,Tm3,Tm4,Tm5,Tm6,Tm7,Tm8,Tm9,Tm10,Tm11,Tm12,Tm13,Tm14,Tm15,Tm16,Tm17,Tm18,trend,skew,mean,stddev,hurst,serialcorr,date
-72.6018,-58.8443,-9.7174,-16.0898,28.368000000000002,40.4804,36.2862,42.6694,-11.783,13.5413,23.0259,-0.0237,0.4941,-0.1411,0.2223,-0.2847,0.1815,-0.1943,0.0264,1.1592955486346899,-0.556626064282349,4.9009555555555595,24.030922777445603,-0.18349121548824399,0.14874493436801,2016-02-17 23:00:00
-15.7819,-72.6018,-58.8443,-9.7174,-16.0898,28.368000000000002,40.4804,36.2862,42.6694,-11.783,13.5413,23.0259,-0.0237,0.4941,-0.1411,0.2223,-0.2847,0.1815,-0.1943,1.25772943145005,-0.8879257113779231,0.866055555555555,30.2023738303158,-0.0674247996778531,0.0234771538897725,2016-02-18 00:00:00
-0.7073,-15.7819,-72.6018,-58.8443,-9.7174,-16.0898,28.368000000000002,40.4804,36.2862,42.6694,-11.783,13.5413,23.0259,-0.0237,0.4941,-0.1411,0.2223,-0.2847,0.1815,1.2630107206135401,-0.787931273928718,7.777777777723259e-05,30.4569600852929,0.00263473129213429,0.0105600564035039,2016-02-18 01:00:00
0.0589999999999999,-0.7073,-15.7819,-72.6018,-58.8443,-9.7174,-16.0898,28.368000000000002,40.4804,36.2862,42.6694,-11.783,13.5413,23.0259,-0.0237,0.4941,-0.1411,0.2223,-0.2847,1.06504503648962,-0.782895662374875,-0.0493000000000005,30.4573691287463,0.0157879069489998,0.0104708604769119,2016-02-18 02:00:00
-0.3781,0.0589999999999999,-0.7073,-15.7819,-72.6018,-58.8443,-9.7174,-16.0898,28.368000000000002,40.4804,36.2862,42.6694,-11.783,13.5413,23.0259,-0.0237,0.4941,-0.1411,0.2223,1.05469327891029,-0.7848346740825192,-0.0302055555555561,30.457320606662503,0.0200925386871919,0.0104706714783434,2016-02-18 03:00:00
1.331,-0.3781,0.0589999999999999,-0.7073,-15.7819,-72.6018,-58.8443,-9.7174,-16.0898,28.368000000000002,40.4804,36.2862,42.6694,-11.783,13.5413,23.0259,-0.0237,0.4941,-0.1411,1.05467316537813,-0.7814512984269909,-0.0635611111111117,30.4573565728938,0.0207003032017382,0.0104709255139422,2016-02-18 04:00:00
-0.2382,1.331,-0.3781,0.0589999999999999,-0.7073,-15.7819,-72.6018,-58.8443,-9.7174,-16.0898,28.368000000000002,40.4804,36.2862,42.6694,-11.783,13.5413,23.0259,-0.0237,0.4941,1.05474482336373,-0.789598957800456,0.0182222222222217,30.459112492488398,0.0208365422172822,0.0104827641435487,2016-02-18 05:00:00
-0.8403,-0.2382,1.331,-0.3781,0.0589999999999999,-0.7073,-15.7819,-72.6018,-58.8443,-9.7174,-16.0898,28.368000000000002,40.4804,36.2862,42.6694,-11.783,13.5413,23.0259,-0.0237,1.05462945934927,-0.785490322815166,-0.0224611111111117,30.458928542627202,0.0199280599808619,0.0104845577271435,2016-02-18 06:00:00
0.5853,-0.8403,-0.2382,1.331,-0.3781,0.0589999999999999,-0.7073,-15.7819,-72.6018,-58.8443,-9.7174,-16.0898,28.368000000000002,40.4804,36.2862,42.6694,-11.783,13.5413,23.0259,1.07918982501732,-0.7808465300468149,-0.0678277777777783,30.459538627590103,0.0200043179161967,0.0104944914454135,2016-02-18 07:00:00
0.8383,0.5853,-0.8403,-0.2382,1.331,-0.3781,0.0589999999999999,-0.7073,-15.7819,-72.6018,-58.8443,-9.7174,-16.0898,28.368000000000002,40.4804,36.2862,42.6694,-11.783,13.5413,1.06288755951478,-0.723544455601565,-1.31452777777778,29.9130593210863,0.0424158019240792,0.0106965422096772,2016-02-18 08:00:00
0.7487,0.8383,0.5853,-0.8403,-0.2382,1.331,-0.3781,0.0589999999999999,-0.7073,-15.7819,-72.6018,-58.8443,-9.7174,-16.0898,28.368000000000002,40.4804,36.2862,42.6694,-11.783,1.08441796458196,-0.6740720483984319,-2.02025,29.690980274452702,0.071519160640999,0.00841490653372867,2016-02-18 09:00:00
